,bertscore,bertscore,bertscore
Compression Ratio,0.1,0.25,0.5
Method,,,
LLM-Lingua,0.0842127704935507,0.1582313262621399,0.4764379764379765
selective-context,0.1871868670717407,0.4107332191501509,0.6755327245053272
style-compress,0.0491391323106703,0.229503995175637,0.5827408820299405
vanilla,0.0955122055217993,0.2605466428995841,0.4668542839274547
