,bertscore,bertscore,bertscore
Compression Ratio,0.1,0.25,0.5
Method,,,
LLM-Lingua,0.050314465408805,0.2276567825011564,0.4178909678909679
selective-context,0.1871868670717407,0.4107332191501509,0.6755327245053272
style-compress,0.073549257759784,0.2001987083954297,0.4506472833159152
vanilla,0.1068116405500479,0.2298300165837479,0.464699683877766
